patch_id,visit_01,visit_02,visit_03,visit_04,visit_05,visit_06,visit_07,visit_08,visit_09,visit_10,visit_11,visit_12,visit_13,visit_14,visit_15,visit_16,visit_17,visit_18,visit_19,visit_20,visit_21,visit_22,visit_23,,,,,,,,,,,,,,,,,,,,,,,,
patch_22,NA,NA,11:16:35,NA,NA,NA,NA,13:36:36,11:44:31,13:44:40,14:07:02,NA,NA,NA,14:06:28,12:43:49,12:19:16,12:46:07,12:03:50,NA,NA,12:12:42,12:43:00,,,,,,,,,,,,,,,,,,,,,,,,
patch_23,NA,NA,NA,NA,NA,NA,NA,13:35:45,11:45:00,13:46:48,14:08:35,NA,NA,NA,14:07:00,12:45:00,12:00:00,12:48:00,12:06:00,NA,NA,12:18:58,12:44:00,,,,,,,,,,,,,,,,,,,,,,,,
patch_24,NA,NA,NA,NA,NA,NA,NA,13:25:10,11:29:34,14:16:56,14:09:42,NA,NA,NA,14:09:11,12:46:24,13:25:47,12:49:41,12:49:41,NA,NA,12:22:36,12:39:47,,,,,,,,,,,,,,,,,,,,,,,,
patch_25,NA,NA,NA,11:16:41,NA,NA,NA,13:23:48,11:29:07,13:54:59,14:31:08,NA,NA,NA,14:18:33,12:08:03,12:57:17,12:51:28,11:53:58,NA,NA,11:59:33,12:38:48,,,,,,,,,,,,,,,,,,,,,,,,
patch_26,12:10:59,10:10:00,11:17:33,11:21:21,12:22:35,NA,NA,13:06:58,11:15:00,13:23:02,13:17:21,NA,NA,NA,13:10:44,12:04:47,12:51:31,12:24:15,11:40:50,NA,NA,11:41:23,12:33:40,,,,,,,,,,,,,,,,,,,,,,,,
patch_27,12:43:53,10:15:00,12:17:51,12:42:36,12:24:00,NA,NA,13:15:14,11:20:00,13:20:51,13:36:03,NA,NA,NA,11:30:00,11:30:47,12:13:00,12:29:48,12:29:48,NA,NA,11:39:13,11:48:35,,,,,,,,,,,,,,,,,,,,,,,,
patch_28,12:56:10,10:20:00,11:38:07,10:52:25,12:26:56,NA,NA,13:14:51,11:25:00,13:49:13,13:40:20,NA,NA,NA,11:34:18,11:36:42,12:15:13,12:30:00,11:46:13,NA,NA,11:04:04,11:50:21,,,,,,,,,,,,,,,,,,,,,,,,
patch_29,13:00:21,10:04:53,12:15:38,10:48:38,12:14:31,NA,NA,12:53:49,11:04:27,12:17:03,10:56:07,NA,NA,NA,10:52:06,10:40:21,12:29:51,12:16:13,12:35:26,NA,NA,11:03:40,11:20:59,,,,,,,,,,,,,,,,,,,,,,,,
patch_30,13:43:19,10:59:25,13:04:23,12:48:38,12:32:19,NA,NA,14:22:23,11:05:06,12:01:36,14:26:05,NA,NA,NA,14:51:59,13:12:52,15:13:56,13:13:24,12:56:00,NA,NA,13:02:53,13:18:10,,,,,,,,,,,,,,,,,,,,,,,,
patch_31,13:47:31,10:59:51,13:04:48,12:50:57,12:32:50,NA,NA,14:23:04,11:13:08,11:09:34,14:26:46,NA,NA,NA,14:52:12,13:15:15,14:44:00,13:14:28,12:57:00,NA,NA,13:04:18,13:18:53,,,,,,,,,,,,,,,,,,,,,,,,
patch_32,13:52:55,11:00:36,13:05:16,12:53:22,12:33:50,NA,NA,14:23:44,11:11:19,11:19:10,14:27:26,NA,NA,NA,14:53:08,13:17:00,14:45:00,13:16:15,12:58:00,NA,NA,13:05:31,13:23:14,,,,,,,,,,,,,,,,,,,,,,,,
patch_33,14:09:21,11:02:21,13:07:00,12:54:28,12:34:43,NA,NA,14:25:06,11:09:51,11:39:28,14:28:48,NA,NA,NA,14:53:55,13:18:00,14:46:32,13:17:19,12:59:00,NA,NA,13:07:11,13:24:38,,,,,,,,,,,,,,,,,,,,,,,,
